name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
M5 T-Nut,2,1,1,1,M5 T-Nut,voron-1.8 voron-trident
M5 T-nut HNTAJ5-5,2,1,1,1,M5 T-nut HNTAJ5-5,voron-2.2 voron-2.4
Magnetic sheet for spring steel plate 120x120 (OPTIONAL),2,1,1,1,Magnetic sheet for spring steel plate 120x120 (OPTIONAL),voron-0.1 voron-0.2
Mean Well LRS-200-12 PSU,2,1,1,1,Mean Well LRS-200-12 PSU,voron-1.6.2 voron-2.2
Meanwell LRS-150-24,2,1,1,1,Meanwell LRS-150-24,voron-0.1 voron-0.2
Microfit3 Male & Female Plugs,2,1,1,1,Microfit3 Male & Female Plugs,voron-0.1 voron-0.2
NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (LDO 36STH20-1004AHG),2,1,1,1,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (LDO 36STH20-1004AHG),voron-0.1 voron-0.2
NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (OMC 14HR07-1004VRN),2,1,1,1,NEMA14 36mm round pancake Stepper Motor with 10 tooth spur gear (OMC 14HR07-1004VRN),voron-0.1 voron-0.2
NEMA14 Stepper Motor 40Ncm,2,1,1,1,NEMA14 Stepper Motor 40Ncm,voron-0.1 voron-0.2
OpenBuilds Angle Corner Connector,2,1,1,1,OpenBuilds Angle Corner Connector,voron-2.2 voron-2.4
PTFE Wire 20gauge 10ft,2,1,1,1,PTFE Wire 20gauge 10ft,voron-0.1 voron-0.2
"PTFE Wire 22gauge 100ft (get 5m of 6 colors for 30m total, tin plated)",2,1,1,1,"PTFE Wire 22gauge 100ft (get 5m of 6 colors for 30m total, tin plated)",voron-0.1 voron-0.2
Raspberry Pi 4 2GB,2,1,1,1,Raspberry Pi 4 2GB,voron-1.8 voron-trident
SSR DIN Mount,2,1,1,1,SSR DIN Mount,voron-1.8 voron-trident
Shim Washer - 6mm OD - 3mm ID - 0.5mm Thick (thickness is important),2,1,1,1,Shim Washer - 6mm OD - 3mm ID - 0.5mm Thick (thickness is important),voron-0.1 voron-0.2
Silicone DC 24V Heater 100x100mm 60W,2,1,1,1,Silicone DC 24V Heater 100x100mm 60W,voron-0.1 voron-0.2
"TBC-09 Terminal Cover (optional, for LRS-200-24)",2,1,1,1,"TBC-09 Terminal Cover (optional, for LRS-200-24)",voron-1.8 voron-trident
Voron V0.1 Kit - FORMBOT,2,1,1,1,Voron V0.1 Kit - FORMBOT,voron-0.1 voron-0.2
